epoch,step,train_mse,val_mse
0,9,0.564567506313324,
0,19,0.3826601207256317,
0,29,0.480833500623703,
0,39,0.43460866808891296,
0,49,0.6117403507232666,
0,59,0.49690794944763184,
0,69,0.34350860118865967,
0,71,,0.20002605020999908
1,79,0.34631407260894775,
1,89,0.22035159170627594,
1,99,0.36478114128112793,
1,109,0.3268144428730011,
1,119,0.2634783387184143,
1,129,0.23177695274353027,
1,139,0.2841448485851288,
1,143,,0.20969435572624207
2,149,0.15300512313842773,
2,159,0.2741607129573822,
2,169,0.254262238740921,
2,179,0.19810669124126434,
2,189,0.3111182153224945,
2,199,0.3224138617515564,
2,209,0.5388566851615906,
2,215,,0.20177040994167328
3,219,0.23355284333229065,
3,229,0.34204840660095215,
3,239,0.29906752705574036,
3,249,0.33881980180740356,
3,259,0.4292827546596527,
3,269,0.24653461575508118,
3,279,0.21492138504981995,
3,287,,0.21147741377353668
4,289,0.1439208835363388,
4,299,0.17217713594436646,
4,309,0.3466227650642395,
4,319,0.16941238939762115,
4,329,0.24067142605781555,
4,339,0.23566976189613342,
4,349,0.26901763677597046,
4,359,0.21456469595432281,
4,359,,0.2286224067211151
5,369,0.2167649269104004,
5,379,0.3035144507884979,
5,389,0.17278032004833221,
5,399,0.20797759294509888,
5,409,0.28349360823631287,
5,419,0.1649244725704193,
5,429,0.21946443617343903,
5,431,,0.25147825479507446
6,439,0.32204365730285645,
6,449,0.28750890493392944,
6,459,0.18668290972709656,
6,469,0.23803406953811646,
6,479,0.34148356318473816,
6,489,0.27343079447746277,
6,499,0.19456163048744202,
6,503,,0.2457766979932785
7,509,0.2032221555709839,
7,519,0.21234482526779175,
7,529,0.3670244812965393,
7,539,0.1510876715183258,
7,549,0.28588274121284485,
7,559,0.261684387922287,
7,569,0.22287431359291077,
7,575,,0.22495555877685547
8,579,0.2662418484687805,
8,589,0.13474027812480927,
8,599,0.16812922060489655,
8,609,0.251466304063797,
8,619,0.12772922217845917,
8,629,0.3053223490715027,
8,639,0.21660389006137848,
8,647,,0.21747352182865143
9,649,0.149125874042511,
9,659,0.2531489133834839,
9,669,0.1345321387052536,
9,679,0.17843706905841827,
9,689,0.21377091109752655,
9,699,0.22550903260707855,
9,709,0.20288817584514618,
9,719,0.37444499135017395,
9,719,,0.2495660036802292
